Edad,Genero,Nivel_Educativo,Titulo_Del_Trabajo,Años_De_Experiencia,Salario
32,Hombre,Licenciatura,Ingeniero de Software,5,90000.0
28,Mujer,Maestria,Analista de Datos,3,65000.0
45,Hombre,Doctorado,Gerente Senior,15,150000.0
36,Mujer,Otro,Otro,7,60000.0
52,Hombre,Maestria,Director,20,200000.0
42,Mujer,Maestria,Gerente de Producto,12,120000.0
31,Hombre,Licenciatura,Gerente de Ventas,4,80000.0
26,Mujer,Licenciatura,Coordinador de Marketing,1,45000.0
38,Hombre,Otro,Cientifico Senior,10,110000.0
29,Hombre,Maestria,Desarrollador de Software,0,75000.0
35,Hombre,Licenciatura,Analista Financiero,6,65000.0
40,Mujer,Maestria,Gerente de Proyectos,14,130000.0
27,Hombre,Licenciatura,Representante de Servicio al Cliente,2,40000.0
39,Otro,Doctorado,Ingeniero Senior,12,115000.0
25,Mujer,Licenciatura,Empleado de Ingreso de Datos,0,35000.0
51,Hombre,Licenciatura,Director de Ventas,0,180000.0
34,Mujer,Maestria,Analista de Negocios,5,80000.0
47,Hombre,Maestria,VP de Operaciones,19,190000.0
30,Hombre,Licenciatura,Soporte Tecnico,2,50000.0
41,Hombre,Maestria,Gerente Financiero,13,140000.0
28,Mujer,Licenciatura,Especialista en Redes Sociales,3,45000.0
37,Mujer,Maestria,Otro,11,110000.0
24,Hombre,Licenciatura,Desarrollador Junior,1,40000.0
43,Mujer,Doctorado,Otro,0,140000.0
33,Hombre,Maestria,Diseñador de Producto,6,90000.0
50,Hombre,Licenciatura,CEO,25,250000.0
31,Otro,Licenciatura,Accountant,4,55000.0
29,Hombre,Maestria,Cientifico de Datos,3,75000.0
39,Mujer,Licenciatura,Especialista en Marketing,10,65000.0
27,Hombre,Licenciatura,Redactor Tecnico,2,45000.0
35,Mujer,Licenciatura,Generalista de Recursos Humanos,7,60000.0
42,Hombre,Maestria,Ingeniero de Proyectos,14,115000.0
26,Mujer,Licenciatura,Representante de exito del Cliente,1,40000.0
34,Mujer,Maestria,Diseñador UX,5,80000.0
48,Hombre,Maestria,Director de Operaciones,18,190000.0
36,Mujer,Licenciatura,Asistente Administrativo,8,45000.0
41,Hombre,Maestria,Consultor de Estrategia,13,130000.0
28,Mujer,Licenciatura,Redactor Publicitario,2,40000.0
45,Mujer,Maestria,Director de Marketing,16,180000.0
38,Hombre,Doctorado,Otro,11,120000.0
25,Hombre,Licenciatura,Analista de Mesa de Ayuda,0,35000.0
40,Mujer,Licenciatura,Otro,12,60000.0
47,Hombre,Maestria,VP de Finanzas,19,200000.0
29,Mujer,Licenciatura,Diseñador Grafico,3,50000.0
36,Hombre,Licenciatura,Gerente de Ventas,9,95000.0
43,Hombre,Doctorado,Ingeniero Senior,0,140000.0
30,Mujer,Licenciatura,Gerente de Redes Sociales,4,55000.0
35,Hombre,Maestria,Gerente de Producto,7,105000.0
51,Mujer,Maestria,Director de Operaciones,23,170000.0
29,Hombre,Licenciatura,Analista de Marketing,3,50000.0
40,Mujer,Licenciatura,Gerente de Recursos Humanos,12,80000.0
47,Hombre,Doctorado,Cientifico de Datos Senior,21,180000.0
26,Hombre,Licenciatura,Contador Junior,1,35000.0
38,Mujer,Maestria,Gerente de Marketing Digital,10,90000.0
46,Hombre,Licenciatura,IT Manager,0,120000.0
34,Hombre,Maestria,Gerente de Desarrollo de Negocios,8,90000.0
33,Hombre,Licenciatura,Desarrollador Web,6,65000.0
39,Mujer,Licenciatura,Reclutador,11,70000.0
45,Hombre,Doctorado,Director de Investigacion,16,190000.0
28,Hombre,Licenciatura,Especialista en Soporte Tecnico,2,40000.0
42,Mujer,Maestria,Director Creativo,14,120000.0
37,Hombre,Licenciatura,Gerente de Proyectos,10,95000.0
50,Mujer,Licenciatura,Gerente de Operaciones,22,160000.0
32,Hombre,Maestria,Ingeniero de Software Senior,6,100000.0
36,Hombre,Licenciatura,Reclutador Tecnico,8,70000.0
41,Mujer,Maestria,Analista de Datos,13,80000.0
25,Hombre,Licenciatura,bbb,0,30000.0
52,Hombre,Doctorado,Director de Tecnologia,24,250000.0
34,Mujer,Maestria,Asesor Financiero,10,95000.0
27,Hombre,Licenciatura,Gerente de Cuentas Junior,2,45000.0
40,Mujer,Licenciatura,Otro,15,80000.0
31,Mujer,Licenciatura,Coordinador de Marketing,6,55000.0
36,Hombre,Doctorado,Cientifico Principal,11,120000.0
43,Hombre,Licenciatura,Gerente de Cadena de Suministro,18,105000.0
52,Mujer,Maestria,Gerente de Marketing Senior,25,170000.0
33,Hombre,Licenciatura,Analista de Negocios,7,75000.0
39,Mujer,Licenciatura,Especialista en Capacitacion,12,65000.0
47,Hombre,Doctorado,Cientifico Investigador,0,160000.0
26,Hombre,Licenciatura,Desarrollador de Software Junior,1,35000.0
38,Otro,Maestria,Public Relations Manager,10,90000.0
45,Hombre,Licenciatura,Analista de Operaciones,20,110000.0
31,Mujer,Licenciatura,Coordinador de Eventos,5,45000.0
35,Hombre,Maestria,Gerente de Marketing de Producto,8,95000.0
49,Mujer,Maestria,Gerente de Recursos Humanos Senior,19,150000.0
33,Hombre,Licenciatura,Desarrollador Web Junior,5,50000.0
39,Mujer,Maestria,Coordinador de Proyectos Senior,13,80000.0
30,Mujer,Licenciatura,Productor de Contenido Digital,3,50000.0
36,Otro,Licenciatura,IT Support Specialist,7,60000.0
41,Otro,Maestria,Analista de Marketing Senior,14,100000.0
28,Hombre,Licenciatura,Gerente de exito del Cliente,2,40000.0
42,Otro,Maestria,Senior Graphic Designer,15,110000.0
37,Hombre,Licenciatura,bbb,9,95000.0
50,Mujer,Licenciatura,Analista de Cadena de Suministro,22,130000.0
32,Hombre,Maestria,Analista de Negocios Senior,6,90000.0
23,Mujer,Licenciatura,Otro,0,35000.0
31,Hombre,Maestria,Analista Financiero Senior,6,95000.0
40,Mujer,Licenciatura,Gerente de Oficina,15,65000.0
48,Hombre,Doctorado,Otro,20,170000.0
29,Mujer,Licenciatura,Generalista de Recursos Humanos Junior,0,45000.0
35,Hombre,Maestria,Gerente de Producto Senior,10,120000.0
53,Hombre,Maestria,Director de Marketing,25,180000.0
33,Mujer,Licenciatura,Analista de Operaciones Junior,5,50000.0
38,Hombre,Licenciatura,Gerente de Servicio al Cliente,11,80000.0
44,Mujer,Doctorado,Cientifico Senior,16,140000.0
26,Hombre,Licenciatura,Contador Junior,2,40000.0
37,Mujer,Maestria,Generalista de Recursos Humanos Senior,9,95000.0
45,Otro,Otro,Grente de Operaciones de Ventas,18,110000.0
32,Mujer,Licenciatura,Coordinador de Marketing,4,50000.0
34,Hombre,Maestria,Desarrollador de Software Senior,0,105000.0
50,Mujer,Maestria,Director de Operaciones,21,160000.0
29,Hombre,Licenciatura,Diseñador Web Junior,3,45000.0
40,Mujer,Maestria,Especialista en Capacitacion Senior,12,100000.0
47,Hombre,Doctorado,Cientifico Investigador Senior,22,160000.0
27,Hombre,Licenciatura,Representante de Ventas Junior,1,35000.0
39,Mujer,Licenciatura,Asistente Administrativo,10,55000.0
46,Hombre,Maestria,Gerente de Proyectos Senior,19,140000.0
30,Otro,Licenciatura,Gerente de Marketing Junior,4,50000.0
36,Hombre,Licenciatura,Analista de Datos Junior,7,60000.0
43,Otro,Maestria,Gerente Senior de Marketing de Producto,14,120000.0
28,Hombre,Licenciatura,Analista de Negocios Junior,2,40000.0
41,Mujer,Maestria,Gerente de Marketing Senior,13,110000.0
33,Hombre,Licenciatura,Desarrollador de Software Junior,5,50000.0
34,Hombre,Licenciatura,Analista de Negocios Senior,8,90000.0
42,Mujer,Doctorado,Cientifico de Datos Senior,16,150000.0
31,Hombre,Licenciatura,Gerente de Proyectos Junior,4,60000.0
38,Mujer,Licenciatura,Contador Senior,10,80000.0
45,Hombre,Maestria,Director de Ventas,19,175000.0
29,Otro,Licenciatura,Junior Recruiter,3,45000.0
36,Hombre,Maestria,Gerente de Desarrollo de Negocios Senior,11,120000.0
43,Mujer,Doctorado,Diseñador de Producto Senior,18,140000.0
26,Hombre,Licenciatura,Especialista en Soporte al Cliente Junior,2,35000.0
37,Mujer,Maestria,Analista de Marketing Senior,9,95000.0
44,Hombre,Licenciatura,Especialista en Soporte Tecnico Senior,14,110000.0
32,Mujer,Licenciatura,Analista Financiero Junior,5,50000.0
33,Hombre,Maestria,Gerente de Operaciones Senior,7,115000.0
51,Mujer,Doctorado,Director de Recursos Humanos,23,185000.0
28,Hombre,Licenciatura,Ingeniero de Software Junior,0,40000.0
39,Mujer,Licenciatura,Representante de Ventas Senior,0,90000.0
48,Hombre,Maestria,Director de Gestion de Producto,21,175000.0
30,Mujer,Licenciatura,Redactor Junior,3,45000.0
35,Hombre,Licenciatura,Coordinador de Marketing Senior,7,80000.0
41,Mujer,Maestria,Gerente Senior de Recursos Humanos,13,120000.0
27,Hombre,Licenciatura,Asociado de Desarrollo de Negocios Junior,1,35000.0
40,Mujer,Licenciatura,Gerente de Cuentas Senior,14,110000.0
46,Hombre,Doctorado,Investigador Senior,18,150000.0
31,Mujer,Licenciatura,Coordinador de Recursos Humanos Junior,4,50000.0
34,Hombre,Maestria,Ingeniero de Software Senior,9,105000.0
50,Mujer,Maestria,Director de Finanzas,20,180000.0
43,Hombre,Licenciatura,Gerente de Proyectos Senior,16,140000.0
26,Mujer,Maestria,Cientifico de Datos Junior,1,45000.0
35,Hombre,Licenciatura,Analista de Operaciones Senior,7,85000.0
42,Mujer,Doctorado,Gerente de Marketing Senior,18,140000.0
31,Hombre,Licenciatura,Contador Junior,4,50000.0
38,Mujer,Licenciatura,Coordinador de Recursos Humanos Senior,0,80000.0
46,Hombre,Maestria,Otro,20,170000.0
29,Mujer,Licenciatura,Representante de Ventas Junior,2,40000.0
37,Hombre,Maestria,Analista de Negocios Senior,9,105000.0
44,Mujer,Doctorado,Diseñador UX Senior,15,145000.0
27,Hombre,Licenciatura,Gerente de Producto Junior,2,40000.0
36,Mujer,Licenciatura,Especialista en Marketing Senior,8,85000.0
43,Hombre,Licenciatura,Gerente de Proyectos de TI Senior,14,130000.0
33,Mujer,Maestria,Analista Financiero Senior,6,95000.0
34,Hombre,Licenciatura,Analista de Aseguramiento de Calidad Senior,9,100000.0
50,Mujer,Doctorado,Director of Sales and Marketing,0,180000.0
28,Hombre,Licenciatura,Analista de Operaciones Junior,0,35000.0
39,Mujer,Licenciatura,Ejecutivo de Cuentas Senior,12,95000.0
47,Hombre,Maestria,Director de Desarrollo de Negocios,19,170000.0
30,Mujer,Licenciatura,Gerente de Redes Sociales Junior,3,45000.0
34,Hombre,Licenciatura,Gerente de Producto Senior,7,95000.0
40,Mujer,Maestria,Especialista en Recursos Humanos Senior,13,120000.0
28,Otro,Licenciatura,Analista de Negocios Junior,2,40000.0
41,Mujer,Licenciatura,Coordinador de Marketing Senior,11,90000.0
45,Hombre,Doctorado,Analista de Datos Senior,17,155000.0
32,Mujer,Licenciatura,Gerente de Cuentas Junior,5,55000.0
35,Otro,Maestria,Desarrollador de Software Senior,9,110000.0
49,Mujer,Maestria,Director de Capital Humano,21,180000.0
30,Hombre,Licenciatura,Coordinador de Publicidad Junior,3,45000.0
27,Mujer,Maestria,Diseñador UX Junior,1,45000.0
36,Hombre,Licenciatura,Contador Senior,7,90000.0
41,Mujer,Doctorado,Director de Marketing Senior,17,160000.0
31,Hombre,Licenciatura,Generalista de Recursos Humanos Junior,4,50000.0
39,Mujer,Licenciatura,Otro,10,120000.0
47,Hombre,Maestria,Director de Finanzas,20,170000.0
30,Mujer,Licenciatura,Coordinador de Marketing Junior,2,40000.0
45,Mujer,Doctorado,Diseñador de Producto Senior,15,150000.0
28,Hombre,Licenciatura,Asociado de Desarrollo de Negocios Junior,2,40000.0
35,Mujer,Licenciatura,Analista de Marketing Senior,8,85000.0
44,Hombre,Licenciatura,Ingeniero de Software Senior,14,130000.0
34,Mujer,Maestria,Asesor Financiero Senior,6,100000.0
35,Hombre,Licenciatura,Coordinador de Proyectos Senior,9,95000.0
50,Mujer,Doctorado,Director de Operaciones,0,180000.0
29,Hombre,Licenciatura,Analista de Operaciones de Negocios Junior,1,35000.0
40,Mujer,Licenciatura,Representante de Ventas Senior,12,100000.0
31,Mujer,Licenciatura,Especialista en Redes Sociales Junior,3,45000.0
42,Mujer,Maestria,Gerente Senior de Recursos Humanos,13,140000.0
28,Hombre,Licenciatura,Analista Financiero Junior,2,40000.0
40,Mujer,Licenciatura,Gerente de Marketing Senior,11,105000.0
46,Hombre,Doctorado,Cientifico de Datos Senior,18,160000.0
33,Mujer,Licenciatura,Gerente de Operaciones Junior,5,70000.0
37,Hombre,Maestria,Arquitecto de Software Senior,9,120000.0
51,Mujer,Maestria,Director de Recursos Humanos,21,190000.0
30,Hombre,Licenciatura,Especialista en Marketing Junior,3,45000.0
43,Hombre,Licenciatura,Gerente de Proyectos Senior,15,120000.0
27,Mujer,Maestria,Cientifico Investigador Junior,0,50000.0
42,Mujer,Doctorado,bbb,0,140000.0
32,Hombre,Licenciatura,Representante de Ventas Junior,3,45000.0
37,Mujer,Licenciatura,Analista Financiero Senior,9,100000.0
45,Hombre,Maestria,Desarrollador de Software Senior,16,140000.0
39,Hombre,Licenciatura,Especialista en Marketing Senior,10,120000.0
44,Mujer,Doctorado,bbb,18,160000.0
29,Hombre,Licenciatura,Analista de Negocios Junior,1,40000.0
38,Mujer,Otro,Gerente de Producto Senior,10,120000.0
46,Hombre,Doctorado,Analista de Datos Senior,19,150000.0
34,Mujer,Licenciatura,Analista de Marketing Junior,6,70000.0
36,Hombre,Licenciatura,Gerente de Operaciones Senior,8,95000.0
49,Otro,Maestria,Director de Marketing,21,180000.0
31,Hombre,Licenciatura,Analista Financiero Junior,3,50000.0
41,Mujer,Licenciatura,Coordinador de Proyectos Senior,11,95000.0
47,Hombre,Maestria,Director de Operaciones,20,170000.0
38,Hombre,Maestria,Consultor de TI Senior,9,110000.0
45,Mujer,Otro,Diseñador de Producto Senior,15,150000.0
34,Mujer,Maestria,Asesor Financiero Senior,0,100000.0
50,Mujer,Doctorado,Director de Operaciones,22,180000.0
29,Hombre,Licenciatura,Analista de Operaciones de Negocios Junior,1,350.0
37,Mujer,Licenciatura,Gerente Financiero Senior,10,120000.0
46,Hombre,Doctorado,Cientifico de Datos Senior,0,160000.0
31,Mujer,Licenciatura,Coordinador de Marketing Junior,3,50000.0
